After Indexing Keywords for,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineeringWe have:

Index	Keywords
1	Committee	
2	Programme	
3	Co	
4	ECIR	
5	2015	
6	2014	
7	courses	
8	2016	
9	2013	
10	Workshop	
11	Campus	
12	your	
13	Organiser	
14	SIGIR	
15	facilities	
16	Retrieval	
17	2012	
18	Conference	
19	We	
20	computer	
21	Undergraduate	
22	Chair	
23	Web	
24	Dr	
25	Study	
26	Masters	
27	LAC	
28	2011	
29	Solutions	
30	2010	
31	papers	
32	Track	
33	degrees	
34	Postgraduate	
35	Departments	
36	Contact	
37	any	
38	Our	
39	Udo	
40	IR	
41	Industry	
42	ACM	
43	KTP	
44	workshop	
45	FDIA	
46	science	
47	robotics	
48	areas	
49	CPD	
50	excellence	
51	Find	
52	course	
53	Unable	
54	suggestions	
55	query	
56	industry	
57	imagination	
58	choose	
59	community	
60	labs	
61	specialist	
62	opportunities	
63	creative	
64	WISE	
65	Kruschwitz	
66	Language	
67	Group	
68	Intelligence	
69	LREC	
70	Signal	
71	ACL	
72	2009	
73	2008	
74	YPA	
75	Intelligent	
76	full	
77	Senior	
78	CIKM	
79	RANLP	
80	co	
81	IEEE	
82	WIC	
83	IRF	
84	Access	
85	variety	
86	electronic	
87	abroad	
88	living	
89	Sport	
90	Southend	
91	Loughton	
92	services	
93	showcase	
94	requests	
95	Excellence	
96	Framework	
97	REF	
98	institutes	
99	centres	
100	Expertise	
101	business	
102	Facilities	
103	About	
104	Events	
105	Jobs	
106	Alumni	
107	Staff	
108	People	
109	Browse	
110	site	
111	cookies	
112	their	
113	cookie	
114	policy	
115	View	
116	committed	
117	computing	
118	postgraduate	
119	levels	
120	people	
121	curriculum	
122	work	
123	ll	
124	benefit	
125	Economic	
126	provide	
127	environment	
128	staff	
129	help	
130	awards	
131	Feb	
132	Get	
133	would	
134	like	
135	question	
136	All	
137	enquiries	
138	ARE	
139	US	
140	Extraction	
141	London	
142	involving	
143	November	
144	Project	
145	Experience	
146	demos	
147	CHIIR	
148	AAAI	
149	AIRS	
150	Gamification	
151	ESWC	
152	Hybrid	
153	Translation	
154	IIiX	
155	Future	
156	Directions	
157	Document	
158	Springer	
159	Natural	
160	I	
161	am	
162	Computation	
163	language	
164	techniques	
165	example	
166	now	
167	Rights	
168	Data	
169	Doctoral	
170	EPSRC	
171	Partnership	
172	human	
173	Miguel	
174	Award	
175	Recent	
176	PEBL	
177	IRSG	
178	NAACL	
179	HLT	
180	19	
181	User	
182	Modeling	
183	Personalization	
184	WSDM	
185	Demos	
186	Scientific	
187	GamifIR	
188	JCDL	
189	KONVENS	
190	Reviewing	
191	Program	
192	Approaches	
193	HyTra	
194	Demo	
195	Review	
196	offer	
197	games	
198	communications	
199	uk	
200	electrical	
201	Are	
202	Subject	
203	Life	
204	New	
205	Welcome	
206	Before	
207	arrive	
208	families	
209	Gateway	
210	Recruit	
211	graduates	
212	Apprenticeships	
213	Days	
214	Tours	
215	Sustainability	
216	Global	
217	Site	
218	Select	
219	Level	
220	uses	
221	By	
222	continuing	
223	browse	
224	consenting	
225	Please	
226	visit	
227	why	
228	Degrees	
229	Careers	
230	Accreditation	
231	Scholarships	
232	Equality	
233	inclusion	
234	Working	
235	Creative	
236	experimental	
237	From	
238	businesses	
239	run	
240	smoothly	
241	gaming	
242	simulating	
243	many	
244	everyday	
245	processes	
246	basis	
247	while	
248	advances	
249	electronics	
250	made	
251	internet	
252	innovative	
253	telecommunications	
254	inexpensive	
255	possible	
256	At	
257	teach	
258	undergraduate	
259	masters	
260	all	
261	these	
262	changing	
263	lives	
264	underpins	
265	tomorrow	
266	must	
267	technologies	
268	stay	
269	step	
270	ahead	
271	so	
272	constantly	
273	evolving	
274	driven	
275	creativity	
276	technical	
277	re	
278	not	
279	typical	
280	geeks	
281	You	
282	unique	
283	experience	
284	inspiring	
285	purpose	
286	built	
287	consistently	
288	ranking	
289	satisfaction	
290	needs	
291	guided	
292	Industrial	
293	Advisory	
294	experts	
295	includes	
296	representatives	
297	companies	
298	Intel	
299	Regardless	
300	develop	
301	skills	
302	principles	
303	rewarding	
304	exceptional	
305	laboratories	
306	several	
307	exclusively	
308	brain	
309	interfaces	
310	embedded	
311	lasers	
312	photonics	
313	networking	
314	laboratory	
315	teaching	
316	Computational	
317	Finance	
318	Agents	
319	Why	
320	Year	
321	Times	
322	Higher	
323	Education	
324	Awards	
325	Top	
326	TGUG	
327	placement	
328	88	
329	professional	
330	employment	
331	within	
332	six	
333	months	
334	graduating	
335	DLHE	
336	Specialist	
337	Unexpectedly	
338	Flexible	
339	accredited	
340	allowing	
341	own	
342	specialisation	
343	Explore	
344	taught	
345	combining	
346	formal	
347	instruction	
348	powerhouse	
349	active	
350	stimulating	
351	carry	
352	doctoral	
353	extensive	
354	CSEE	
355	both	
356	wonderful	
357	things	
358	society	
359	education	
360	strengths	
361	working	
362	safe	
363	designed	
364	inquisitive	
365	minds	
366	be	
367	Come	
368	along	
369	ride	
370	life	
371	Professor	
372	Anthony	
373	Vickers	
374	school	
375	Use	
376	innovate	
377	placements	
378	internships	
379	Partnerships	
380	membership	
381	campaign	
382	progress	
383	gender	
384	equality	
385	Membership	
386	means	
387	raise	
388	profile	
389	female	
390	STEM	
391	link	
392	them	
393	Career	
394	In	
395	response	
396	Athena	
397	SWAN	
398	initiative	
399	selection	
400	created	
401	networks	
402	training	
403	specifically	
404	women	
405	Latest	
406	hopes	
407	shape	
408	future	
409	wireless	
410	thanks	
411	mobility	
412	20	
413	First	
414	prosthetic	
415	hand	
416	tactile	
417	sensations	
418	dexterity	
419	successfully	
420	implanted	
421	05	
422	Council	
423	boost	
424	impact	
425	31	
426	Jan	
427	touch	
428	ask	
429	please	
430	complete	
431	form	
432	Ask	
433	Click4Assistance	
434	UK	
435	Live	
436	Chat	
437	Software	
438	Telephone	
439	01206	
440	872770	
441	WE	
442	ESSEX	
443	YOU	
444	prospectus	
445	Register	
446	STUDY	
447	area	
448	LIFE	
449	RESEARCH	
450	EXPLORE	
451	How	
452	pay	
453	fees	
454	Z	
455	CONTACT	
456	General	
457	admit	
458	pgadmit	
459	0	
460	873333	
461	Privacy	
462	Cookie	
463	Policy	
464	Disclaimer	
465	CONNECT	
466	WITH	
467	reserved	
468	engines	
469	Ontologies	
470	book	
471	most	
472	recent	
473	natural	
474	NLP	
475	retrieval	
476	intelligent	
477	years	
478	extraction	
479	partially	
480	structured	
481	data	
482	major	
483	document	
484	articles	
485	BT	
486	look	
487	Current	
488	Projects	
489	ESRC	
490	Poesio	
491	builds	
492	Minority	
493	CDT	
494	Game	
495	email	
496	aimed	
497	Corpus	
498	collaboration	
499	some	
500	exciting	
501	Best	
502	demo	
503	it	
504	February	
505	Creating	
506	annotated	
507	SENSEI	
508	Read	
509	read	
510	developed	
511	methods	
512	browsing	
513	between	
514	communities	
515	chair	
516	Meetup	
517	organiser	
518	Resources	
519	SIRIP	
520	Consortium	
521	Text2Story	
522	Outstanding	
523	PC	
524	SwissText	
525	Games4NLP	
526	ICTIR	
527	Tutorials	
528	DIR	
529	18	
530	NewsIR	
531	ISWC	
532	WWW	
533	MultiLing	
534	MMM	
535	16	
536	CLEF	
537	Recommender	
538	Challenge	
539	NEWSREEL	
540	Steering	
541	14	
542	EACL	
543	Personalised	
544	Multilingual	
545	STAIRS	
546	Hypertext	
547	Missed	
548	Organising	
549	2007	
550	external	
551	supervisor	
552	Publications	
553	Book	
554	Interests	
555	17th	
556	21st	
557	September	
558	earlier	
559	events	
560	16th	
561	15th	
562	14th	
563	13th	
564	12th	
565	11th	
566	10th	
567	Check	
568	programme	
569	Reading	
570	My	
571	interests	
572	processing	
573	implementation	
574	real	
575	applications	
576	directory	
577	assistant	
578	going	
579	back	
580	quite	
581	few	
582	where	
583	issues	
584	played	
585	roles	
586	usable	
587	system	
588	developing	
589	allow	
590	conceptual	
591	collections	
592	utilization	
593	knowledge	
594	tasks	
595	type	
596	documents	
597	pages	
598	newspaper	
599	other	
600	forms	
601	vaguely	
602	For	
603	application	
604	had	
605	place	
606	mobile	
607	workforce	
608	log	
609	analysis	
610	Ongoing	
611	Collaboration	
612	five	
613	Large	
614	Grant	
615	Human	
616	Era	
617	Big	
618	underway	
619	Fox	
620	plays	
621	significant	
622	links	
623	Watch	
624	space	
625	Games	
626	IGGI	
627	55	
628	scholarships	
629	over	
630	8	
631	being	
632	funded	
633	supported	
634	60	
635	industrial	
636	partners	
637	To	
638	explore	
639	profiles	
640	involves	
641	York	
642	Queen	
643	Mary	
644	Goldsmiths	
645	College	
646	want	
647	know	
648	drop	
649	me	
650	three	
651	civilian	
652	monitoring	
653	violations	
654	Iraq	
655	Ceasefire	
656	Portal	
657	outcomes	
658	Violence	
659	Acts	
660	Arabic	
661	academic	
662	resource	
663	described	
664	detail	
665	paper	
666	highly	
667	successful	
668	was	
669	starting	
670	point	
671	ongoing	
672	Lead	
673	PI	
674	pleased	
675	Martinez	
676	Alvarez	
677	who	
678	Associate	
679	Here	
680	timeline	
681	named	
682	Leader	
683	Tomorrow	
684	video	
685	portrait	
686	coverage	
687	event	
688	main	
689	actors	
690	April	
691	award	
692	even	
693	just	
694	announced	
695	raised	
696	1.8m	
697	growth	
698	capital	
699	tier	
700	investors	
701	see	
702	Techcrunch	
703	wins	
704	features	
705	InnovateUK	
706	home	
707	page	
708	again	
709	Another	
710	landmark	
711	closes	
712	16m	
713	Series	
714	B	
715	December	
716	confirmed	
717	start	
718	January	
719	anaphorically	
720	through	
721	semantic	
722	wikis	
723	AnaWiki	
724	Phrase	
725	Detectives	
726	annotation	
727	game	
728	creation	
729	semantically	
730	corpora	
731	DALI	
732	findings	
733	lessons	
734	learned	
735	PhraseDetectives	
736	FP7	
737	started	
738	finished	
739	line	
740	aim	
741	make	
742	sense	
743	conversation	
744	applying	
745	advanced	
746	anaphora	
747	resolution	
748	multi	
749	summarization	
750	predict	
751	Brexit	
752	results	
753	if	
754	prefer	
755	Polish	
756	Automatic	
757	Adaptation	
758	Structures	
759	Assisted	
760	Seeking	
761	AutoAdapt	
762	Robert	
763	Gordon	
764	Aberdeen	
765	evaluated	
766	adapting	
767	automatically	
768	constructed	
769	domain	
770	population	
771	users	
772	Application	
773	large	
774	scale	
775	evaluation	
776	two	
777	seeking	
778	scenarios	
779	namely	
780	interactive	
781	focus	
782	follows	
783	Patient	
784	Engagement	
785	Blogs	
786	result	
787	automated	
788	interface	
789	clinical	
790	commissioner	
791	groups	
792	CCGs	
793	they	
794	serve	
795	framework	
796	JobServe	
797	world	
798	first	
799	Internet	
800	Recruitment	
801	Service	
802	mail	
803	server	
804	Active	
805	AWS	
806	Ipswich	
807	company	
808	devoted	
809	cutting	
810	edge	
811	enterprise	
812	Learning	
813	Disabilities	
814	Infrastructure	
815	Markup	
816	Based	
817	Enquiry	
818	Involvements	
819	Panel	
820	Karen	
821	Sp	
822	rck	
823	Jones	
824	call	
825	Winter	
826	newsletter	
827	Text	
828	Analytics	
829	Area	
830	Evaluation	
831	workshops	
832	UISTDA	
833	LDK	
834	EMNLP	
835	Professional	
836	ProfS2018	
837	HCOMP	
838	Sponsorship	
839	Keynote	
840	tutorials	
841	Reviewer	
842	Mindtrek	
843	Design	
844	Worksop	
845	Papers	
846	Accessing	
847	Cultural	
848	Heritage	
849	Scale	
850	Advances	
851	ACHS	
852	Panellist	
853	Symposium	
854	Practice	
855	Beyond	
856	single	
857	shot	
858	text	
859	queries	
860	bridging	
861	gap	
862	MindTheGap	
863	iConference	
864	UMAP	
865	Paper	
866	BARS	
867	ENRICH	
868	IJCNLP	
869	Presentations	
870	Over	
871	Query	
872	Sessions	
873	SIR2012	
874	Joint	
875	Machine	
876	Cross	
877	Disconnected	
878	Languages	
879	Styles	
880	Content	
881	Analysis	
882	Invited	
883	Panelist	
884	Session	
885	PMHR	
886	article	
887	ITNow	
888	conference	
889	report	
890	Forum	
891	ECAI	
892	MinUCS	
893	NODALIDA	
894	Special	
895	Issue	
896	Journal	
897	Of	
898	Interactive	
899	QA	
900	Guest	
901	Editorial	
902	Profiling	
903	located	
904	Interaction	
905	Context	
906	ECML	
907	PKDD	
908	High	
909	level	
910	Flatlands	
911	organised	
912	Demonstration	
913	Teaching	
914	CE306	
915	CE706	
916	Deirdre	
917	Lungley	
918	Mahmoud	
919	El	
920	Haj	
921	M	
922	Dyaa	
923	Albakour	
924	Suma	
925	Adindla	
926	Sharhida	
927	Saad	
928	Azhar	
929	Alhindi	
930	Jon	
931	Chamberlain	
932	Roseline	
933	Antai	
934	Fawaz	
935	Alarfaj	
936	Maha	
937	Althobaiti	
938	Silviu	
939	Paun	
940	Ans	
941	Alghamdi	
942	Passed	
943	corrections	
944	David	
945	Gundry	
946	Rob	
947	Homewood	
948	Chris	
949	Madge	
950	Dino	
951	Ratcliffe	
952	Steve	
953	Zimmerman	
954	Selected	
955	Foundation	
956	Trends	
957	Searching	
958	Enterprise	
959	Martin	
960	White	
961	IntranetFocus	
962	Informer	
963	Newsletter	
964	BCS	
965	Computing	
966	Reviews	
967	tel	
968	872669	
969	fax	
970	872788	
971	udo	
972	1997	
973	last	
974	change	
After Indexing Keywords for,http://csee.essex.ac.uk/staff/udo/index.htmlWe have:

Index	KeyWord
1	Committee	
2	Programme	
3	Co	
4	ECIR	
5	2015	
6	2014	
7	2016	
8	2013	
9	Workshop	
10	Organiser	
11	SIGIR	
12	Retrieval	
13	2012	
14	Conference	
15	Chair	
16	Web	
17	Dr	
18	LAC	
19	2011	
20	Solutions	
21	2010	
22	papers	
23	Track	
24	Udo	
25	IR	
26	Industry	
27	ACM	
28	KTP	
29	workshop	
30	FDIA	
31	Kruschwitz	
32	Language	
33	Group	
34	Intelligence	
35	LREC	
36	Signal	
37	ACL	
38	2009	
39	2008	
40	YPA	
41	Intelligent	
42	full	
43	Senior	
44	CIKM	
45	RANLP	
46	co	
47	IEEE	
48	WIC	
49	IRF	
50	Access	
51	Extraction	
52	London	
53	involving	
54	November	
55	Project	
56	Experience	
57	demos	
58	CHIIR	
59	AAAI	
60	AIRS	
61	Gamification	
62	ESWC	
63	Hybrid	
64	Translation	
65	IIiX	
